Number of wires,Number of wire bits,Number of public wires,Number of public wire bits,Number of memories,Number of memory bits,Number of processes,Number of cells,Logic Depth
3.2262762,3.019061,3.1946757,3.2571309,0.01263231,-0.009174274,-0.023190046,0.97261775,1.0126506
3.0338495,3.286131,3.0269003,3.0667188,-0.00037986273,0.0009084232,4.8492104e-05,1.0254827,1.0513486
3.5292847,3.4157343,3.479525,3.543999,-0.005213107,0.0068185544,-0.011116389,0.9392243,0.9995023
2.9606955,3.1397448,2.9850774,2.8477914,-0.0075271325,-0.008674465,0.0027706176,0.973044,0.9888767
3.0119386,3.1264935,3.0192142,3.0245116,0.005746247,0.0019297693,-0.0032641925,0.9910239,1.0120798
3.4201818,3.9755192,3.3551548,3.4365156,0.000813914,-0.0028804373,0.0026117712,1.0176132,1.1756495
3.0136511,2.9231844,3.0145946,2.999872,0.0050522024,0.0019045137,-0.0043467544,0.9919596,0.9985558
4.249251,3.3725367,4.1792064,4.3737993,-0.029058794,0.02118513,0.00731368,0.89064276,0.97879684
3.3469152,3.5873384,3.3140187,3.4856002,-0.0026154444,0.0004569199,-0.008078642,0.9957274,1.078422
4.127633,3.2329273,4.031852,4.183358,-0.025746286,0.02278281,0.012475859,0.9050401,0.94473064
3.1453366,3.490758,3.1215646,3.160021,0.0010322775,-0.0033581015,0.0039718784,0.99452573,1.0708021
2.8117142,2.3701696,2.9057195,2.3918316,-0.00012165401,-0.012576589,-0.0013952404,0.8890166,0.79957616
3.1554537,3.4662542,3.1507897,3.1074545,0.0015825978,0.009573389,0.00033177063,1.0001909,1.0298795
2.9724457,2.8578997,2.9807687,2.8764317,-0.00593077,-0.015558327,-0.0053055063,0.9792248,0.9922143
3.0086255,3.5029898,2.9924223,3.1253998,-0.0021785335,-0.022627516,-0.007616151,1.0536759,1.1197513
3.9697986,4.074561,3.8957775,4.2418633,-0.020414323,0.016190901,-0.00960356,0.9661022,0.91232383
3.0016065,2.8811016,3.0256412,2.9798582,-0.0010627103,-0.0042190086,-0.011819407,0.98835355,0.99910486
3.007337,2.8735733,3.038498,2.9720786,-0.0017864355,0.022078376,-0.004475251,0.95801693,1.0052563
3.2831163,3.1838083,3.2546883,3.2274044,0.00414643,-0.010509552,-0.011831133,0.9564023,0.9702207
3.0435948,3.3918571,3.0179646,3.183482,-0.005424901,-0.0128675755,-0.002409894,1.0311627,1.1132535
2.9848647,3.0709324,2.979109,2.9050095,-0.008232798,-0.01055848,-0.0029390045,0.98993146,0.9899293
3.4688158,4.134181,3.420246,3.5559099,0.010583222,0.01863213,0.0029209629,1.0307744,1.0798215
2.9745436,3.1196976,2.9859474,2.9492977,-0.008939556,-0.0074182693,0.0032702647,0.99886,1.0387386
3.067275,2.9806767,3.0562854,3.0595062,-0.0011458956,-0.0017751213,-0.007424947,0.9662958,0.99187934
3.0169866,3.033309,3.019037,2.9958127,-0.0022226255,-0.0019149967,-0.0029225275,1.0074875,1.0060464
3.0214508,3.4491644,3.0161805,3.0747454,-0.004046811,0.0064516217,-0.001657445,1.007204,1.056811
3.7068193,3.8833199,3.65435,3.7984111,-0.00057104044,0.018565739,0.014369689,0.9500979,1.0082697
3.0174456,3.389347,3.009767,3.0680015,-0.0023276024,-0.0008022338,-0.002655413,1.0188476,1.0604092
3.0376754,3.0630217,3.024775,2.991718,-0.0048385775,0.002683714,0.001813937,1.0083575,1.001274
2.9641712,3.209525,2.9551039,2.9678667,-0.018695178,-0.015533285,-0.004270047,1.0203732,1.0543202
3.156661,3.5459585,3.1538308,3.2802064,0.0064533795,0.007391059,-0.024279874,1.0272943,1.0283674
2.9397156,3.126544,2.961864,2.8262599,-0.0071143294,-0.0013767965,-0.0033125915,0.99028856,0.98382795
4.2171855,3.157093,4.184564,4.2660756,-0.03350792,0.009253334,-0.008643661,0.9213081,0.90451205
2.9635458,2.948123,2.9729326,2.9071376,-0.0022410476,-0.0045830347,0.00018806756,0.99503833,1.0076443
3.1101341,3.6615152,3.0840743,3.1509712,-0.0031718854,-0.008778721,-0.011630354,1.0193462,1.088847
3.0736904,3.3336906,3.0427635,3.1836255,0.0018144362,0.0018333532,-0.008730598,1.0438198,1.0932013
2.9160912,2.933507,2.9383662,2.8052871,-0.016074494,-0.0057920367,-0.00095649064,0.9835083,0.9596306
4.3562393,2.3105707,4.357968,4.3627214,-0.04144176,0.0011584144,-0.01648899,0.8551781,0.75131214
3.256325,3.3239603,3.2299645,3.295358,0.0047620074,-0.0042874366,-0.0077113993,0.9840298,1.0737818
3.0737562,3.329485,3.0620098,3.0831535,0.0058836625,0.009453231,-0.002535902,0.99863154,1.029128
3.0672827,3.2453575,3.0422115,3.1697805,0.000892262,-0.0033799578,-0.013316069,1.0106165,1.0656222
3.9808273,3.8203554,3.8983133,4.069761,-0.03121716,-0.0040145162,0.007435832,0.96253246,0.96919096
2.9902632,2.9708624,3.0363665,2.8426487,-0.0074049886,0.013746578,0.0053001903,0.94502985,0.93937624
3.0576308,3.178259,3.0475733,3.0250137,0.00062513445,0.0018998124,-0.0032400005,1.0064069,0.99694884
3.0369978,3.191639,3.024032,3.0123756,0.0009295158,-0.014398681,-0.0009388663,0.9896564,1.0423833
3.0219586,3.5756388,3.00707,3.0750854,-0.004814458,-0.010724368,0.0032673925,1.035562,1.076497
2.9608152,3.0653906,2.9465866,2.9477417,-0.008079092,-0.014392974,0.002711933,1.0018297,1.0296365
3.1251755,3.3700275,3.1090431,3.1892207,0.0017785637,0.0016309042,-0.006311264,0.99604857,1.0661825
3.9119384,3.5686378,3.8329773,4.0776505,-0.024592753,-0.0028216522,0.008854456,0.93982005,0.959041
4.183003,3.011716,4.148986,4.1772685,-0.057312652,0.017241593,-0.0064766407,0.90632653,0.77026474
3.0389001,3.000742,3.0114973,3.0727866,0.0045026415,0.0026575439,-0.004812371,1.0127379,1.0468827
3.704462,4.1061993,3.648351,3.7113688,-0.0019775927,0.00636141,0.00019702315,0.97802216,0.9924754
3.1288483,3.0803757,3.0981653,3.248031,0.012977655,0.0055898316,0.004943095,1.0165529,1.114704
4.2206407,3.0568113,4.216451,4.3470745,-0.005430637,0.045927286,-0.00071695447,0.8861065,0.79378974
4.271753,3.0032034,4.179267,4.5649767,-0.026063437,0.011399139,-0.022550493,0.9192976,0.8714262
3.000659,3.3117838,2.9903822,2.9281552,-0.008814685,-0.008320304,-0.0045726374,1.0085042,1.0073324
3.048915,3.190567,3.0219576,3.1479428,-0.00825135,-0.017214512,-0.022991227,1.0252497,1.0579954
2.9828,2.9059381,2.9833653,2.9613602,-0.008949215,-0.0052817278,0.0018348619,1.0122637,1.0401524
2.9947004,3.0181856,2.9771183,2.922825,-0.015845854,-0.013727823,-0.00092025474,0.99241567,0.9817692
4.030986,3.2901354,4.0098433,4.0288863,-0.036312602,0.005245505,-0.027073007,0.9257984,0.8837482
3.0161264,3.3654099,2.9735572,3.0720346,-0.009579952,-0.016996803,0.0015586317,1.0327916,1.0866758
3.0640328,3.2143936,3.043907,3.121762,0.004582341,0.002330985,-0.006109502,1.0211043,1.0483135
3.5922647,3.9667816,3.5677714,3.555362,-0.015075304,0.021383094,-0.006307464,0.95256644,0.93736446
